filename,lecture in question,lecture,raw from,raw to,from,to,text
week12_allquestions,12.6,5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).csv, 11'00",13'00",660,780, Is there a way to adapt the algorithm to draw lines in the network estimating cutoffs between different communities?
week12_allquestions,12.6,5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).csv, 4'00",6'37",240,397,$ Since a network is a constraint when constructing the generative model, how can it be expressed quantitatively or qualitatively by a user or anybody doing such an analysis?$
week12_allquestions,12.1,5 - 4 - 4.4 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 1 (00-15-17).csv, 11'04",11'49",664,709, Why do we use a Gaussian distribution?
week12_allquestions,6.4,MISSING, 5' 16",4' 53",316,293, What techniques can we use to determine how to partition data to determine context?
week12_allquestions,12.6,5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).csv, 9'42",9'45",582,585, How do you know if two nodes are close to eachother/measure the distance?
week12_allquestions,6.1,MISSING, 6'20'',7'15'',380,435, How are the term weights for the different aspect segments discovered?
week12_allquestions,12.6,5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).csv, 9'20",9'53",560,593, Would we be able to use a negative edge weight in the instantiation of NetPLSA?
week12_allquestions,12.7,5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).csv, 5'40",9'40",340,580, How accurate and useful is iterative casual topic modeling and in what situations should it be used?
week12_allquestions,12.1,5 - 4 - 4.4 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 1 (00-15-17).csv, 3'30",4'30",210,270, Would it be better to weight unbiased reviews more rather than accomodating ratings for biased reviews?
week12_allquestions,12.6,5 - 9 - 4.9 Contextual Text Mining- Mining Topics with Social Network Context (00-14-43).csv,5'10",5'30",310,330, What is the purpose of the regularizer function?
week12_allquestions,12.1,5 - 4 - 4.4 Opinion Mining and Sentiment Analysis- Latent Aspect Rating Analysis Part 1 (00-15-17).csv, 04'50",09'25",290,565,$ How are the aspects determined? In addition, how do we know what words correspond to each specific aspect?$
week12_allquestions,6.8,MISSING, 5'27",5'58",327,358, What if we combined the idea of topic mining and opinion mining? what is the use for this?
week12_allquestions,12.7,5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).csv, 11'30",13'40",690,820, How do we analysis causality or correlation in a multiple language case?
week12_allquestions,12.5,5 - 8 - 4.8 Contextual Text Mining- Contextual Probabilistic Latent Semantic Analysis (00-17-59).csv, 7'40'',8'03'',460,483,Why the three different colors shown in the "choose a topic" section are not perfect rectangles?
week12_allquestions,12.7,5 - 10 - 4.10 Contextual Text Mining- Mining Casual Topics with Time Series Supervision (00-19-37).csv, 1'57",3'54",117,234, How do we deal with mining topics with time series supervision?
