filename,lecture in question,lecture,raw from,raw to,from,to,text
week7_allquestions,7.5,2 - 5 - 1.5 Text Representation- Part 1 (00-10-46).csv, 7'30",9'00",450,540,$ Why is speech act = request the hardest thing to do for this sentence, since handling requests is a relatively straightforward task for things like Amazon Alexa or Google Drive?$
week7_allquestions,7.7,2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).csv, 9'27",10'33",567,633, Identical words can represent different meanings; how does that play an effect in calculating similarities between words?
week7_allquestions,7.2,2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).csv, 2' 16",2' 30",136,150, Why is an entity-relation graph a good way to represent the obserable world?
week7_allquestions,7.9,2 - 9 - 1.9 Paradigmatic Relation Discovery Part 2 (00-17-53).csv, 7'03",7'20",423,440, Are xi and yi supposed to be the same words?
week7_allquestions,7.8,2 - 8 - 1.8 Paradigmatic Relation Discovery Part 1 (00-14-31).csv, 8'00",8'50",480,530, Why is there overlap of words in paradigmatic relation mining?
week7_allquestions,7.7,2 - 7 - 1.7 Word Association Mining and Analysis (00-15-39).csv, 4'50",7'10",290,430, How often are Mine Word Associations used and why do they help improve the accuracy of NLP tasks such as POS tagging?
week7_allquestions,7.1,2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).csv, 1'20",2'20",80,140,$ High-quality information and actionable knowledge are considered different, but can't people make decisions based upon high-quality information, therefore making all knowledge somewhat actionable?$
week7_allquestions,7.1,2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).csv, 4'45",4'50",285,290, What is the relationship between text retrieval and text mining?
week7_allquestions,7.4,2 - 4 - 1.4 Natural Language Content Analysis- Part 2 (00-04-25).csv, 0'20",1'17",20,77,$ Why doesn't deep understanding scale? What is preventing it? Is it computational expense, or for some other reason?$
week7_allquestions,7.8,2 - 8 - 1.8 Paradigmatic Relation Discovery Part 1 (00-14-31).csv, 05'00",05'10",300,310, What is the bound on the number of possible contexts?
week7_allquestions,1.5,MISSING, 3'09",3'31",189,211,What techniques are used for language like Chinese to represente in a sequence of word?
week7_allquestions,7.8,2 - 8 - 1.8 Paradigmatic Relation Discovery Part 1 (00-14-31).csv, 9'46",11'30",586,690, Is this method similar to term appearence which is talked in the begining of the course?
