filename,lecture in question,lecture,raw from,raw to,from,to,text
week2_allquestions,2.6,3 - 3 - 2.3 System Implementation- Fast Search (00-17-11).csv, 14'13",16'33",853,993, How does Zipf's law filter out the completely unrelated results?
week2_allquestions,2.4,3 - 1 - 2.1 Implementation of TR Systems (00-21-27).csv, 19'15",20'30",1155,1230, What is the "postings" data structure?
week2_allquestions,2.5,3 - 2 - 2.2 System Implementation- Inverted Index Construction (00-18-21).csv, 3'16" , 12'52",196,772, What is the point of compression? Will the access times really be that impactful to the overall indexing?
week2_allquestions,2.4,3 - 1 - 2.1 Implementation of TR Systems (00-21-27).csv, 7'05",9'07",425,547,$  What if we Tokenize the terms before we make them the index, is that something that people do or would that skew how the index work and potentially give wrong data to the user?$
week2_allquestions,2.6,3 - 3 - 2.3 System Implementation- Fast Search (00-17-11).csv, 1'00",4'26",60,266, What does f subscript a mean and how is it calculated from the result of the function h?
week2_allquestions,2.5,3 - 2 - 2.2 System Implementation- Inverted Index Construction (00-18-21).csv, 3'34",4'45",214,285, Are the doc-ids sorted with the term-ids in the "local" sort?
week2_allquestions,2.1,2 - 7 - 1.7 Vector Space Model- Improved Instantiation (00-16-52).csv, 11' 00",12' 50",660,770, How do we determine what type of function to use for the IDF?
week2_allquestions,2.3,2 - 9 - 1.9 Doc Length Normalization (00-18-56).csv, 13'05",15'40",785,940, How exactly does adding a constant to the TF the way that BM25+ limit overpenalyzing?
week2_allquestions,2.5,3 - 2 - 2.2 System Implementation- Inverted Index Construction (00-18-21).csv, 11'45",16'00",705,960, Can we get more examples of using gamma-code?
week2_allquestions,2.5,3 - 2 - 2.2 System Implementation- Inverted Index Construction (00-18-21).csv, 12'15'',14'00'',735,840, How does the gamma-code intergar compression method work? I did not understand the example from the video.
week2_allquestions,2.2,2 - 8 - 1.8 TF Transformation (00-09-31).csv, 5'10",8'10",310,490,$Is the BM25 transformation the best in all cases, or should the transformation used depend on the documents being searched the the types of queries used?$
week2_allquestions,2.5,3 - 2 - 2.2 System Implementation- Inverted Index Construction (00-18-21).csv, 11'20",16'38",680,998,I'm still very confused how integer compression actually reduces size of storage since some of the examples make it seem like you're using more bits than before on some inputs
week2_allquestions,2.6,3 - 3 - 2.3 System Implementation- Fast Search (00-17-11).csv, 3'53",4'38",233,278,$ Can you further explain why we need to compute g(t,d,q) in scoring algorithum? Like what is that function g() and what are the primeters t,d,q stands for.$
