filename,lecture in question,lecture,raw from,raw to,from,to,text
week5_allquestions,5.1,4 - 8 - 3.6 Feedback in Text Retrieval (00-06-49).csv, 4'46" , 7'16",286,436, How do different types of feedback integrate into different page rank algorithms?
week5_allquestions,5.8,5 - 5 - 4.3 Link Analysis - Part 3 (00-05-59).csv, 0'00",1'00",0,60, How are the results from PageRank and HITS integrated with the results of a vector space model or language model?
week5_allquestions,5.7,5 - 4 - 4.3 Link Analysis - Part 2 (00-17-30).csv, 13'13" , 14'33",793,873, For the equilibrium equation why is the initial term (1-a)?
week5_allquestions,5.6,5 - 3 - 4.3 Link Analysis - Part 1 (00-09-16).csv, 3'40",4'00",220,240, Is relevance like this always guarenteed to be a good thing?
week5_allquestions,5.2,4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).csv, 9'45",10'37",585,637, Why is the vector truncated when using the Rocchio formula in practice?
week5_allquestions,5.2,4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).csv, 5'23",5'41",323,341,$ How do you determine the alpha, beta, gamma terms in the Rocchio Feedback formula?$
week5_allquestions,5.2,4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).csv, 4' 10",5' 20",250,320, How do we determine the alpha beta and gamma parameters when moving the query vector?
week5_allquestions,5.4,5 - 1 - 4.1 Web Search- Introduction & Web Crawler (00-11-05).csv, 4'50",6'00",290,360, Is there anything actually enforcing crawling coutresy or do people overload websites with crawlers if they want to?
week5_allquestions,5.5,5 - 2 - 4.2 Web Indexing (00-17-19).csv, 12'23",12'40",743,760, What are the counts of 1's exactly?
week5_allquestions,5.8,5 - 5 - 4.3 Link Analysis - Part 3 (00-05-59).csv, 2'20'',4'10'',140,250, Are the equations for hub and authority score guaranteed to converge or can they go to infinity?
week5_allquestions,5.2,4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).csv, 4'25",4'45",265,285, How do you compute the centroid in the Rocchio Feedback formula?
week5_allquestions,5.3,4 - 10 - 3.8 Feedback in Text Retrieval- Feedback in LM (00-19-11).csv, 1'51",4'50",111,290, What are the drawbacks of using the KL Divergence Retrieval Model?
week5_allquestions,5.2,4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).csv, 2'30",3'30",150,210,$ If we move the query vector to better fit the area of relevant documents, wouldn't this be different from the original query? What would this new query vector mean in human readable language?$
week5_allquestions,5.2,4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).csv, 3'50",3'58",230,238,What does it mean for a document to be negative?
week5_allquestions,5.4,5 - 1 - 4.1 Web Search- Introduction & Web Crawler (00-11-05).csv, 6'30",9'53",390,593, Major Crawling Strategies?
week5_allquestions,1.2,MISSING, 1'25",3'17",85,197, What's the meaning of parameter lambda?
week5_allquestions,5.5,5 - 2 - 4.2 Web Indexing (00-17-19).csv, 09'05",10'35",545,635, May you explain why each word gets count of 1? Why are we not mapping each vocabulary word to its count instead?
week5_allquestions,5.2,4 - 9 - 3.7 Feedback in Vector Space Model- Rocchio (00-12-05).csv, 9'50",10'06",590,606,I do not understand why negative examples tend to destruct queries in all direcitons?
