filename,lecture in question,lecture,raw from,raw to,from,to,text
week11_allquestions,11.2,4 - 11 - 3.11 Text Categorization- Discriminative Classifier Part 2 (00-31-46).csv, 19'40",21'50",1180,1310, What is an example of how we can combine multiple methods for these kinds of problems?
week11_allquestions,11.2,4 - 11 - 3.11 Text Categorization- Discriminative Classifier Part 2 (00-31-46).csv, 12'04",13'47",724,827, What happens if we have more than two categories?
week11_allquestions,5.6,MISSING, 4' 56",5' 31",296,331,$ What's the optimal way to combine and use character n-grams, word n-grams, and POS tag n-grams?$
week11_allquestions,11.3,4 - 12 - 3.12 Text Categorization- Evaluation Part 1 (00-14-12).csv, 10'19",10'25",619,625, When should we use precision over recall and vice versa?
week11_allquestions,5.7,MISSING, 3'09'',5'07'',189,307,$ How come we do not use classifiers that split the rating search space in half, requiring only log(k) classifiers instead?$
week11_allquestions,11.7,5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).csv, 7'30",8'15",450,495, Why do we use M+1 and k-1 in the formula for the total number parameters for independent classifiers?
week11_allquestions,11.1,4 - 10 - 3.10 Text Categorization- Discriminative Classifier Part 1 (00-20-34).csv, 11'00",14'20",660,860, In which situations will a KNN classifier be accurate and perform better than a logistic regression classifier?
week11_allquestions,11.5,5 - 1 - 4.1 Opinion Mining and Sentiment Analysis- Motivation (00-17-51).csv, 10'00",11'00",600,660,$ What if an opinion's context, like date or time, was considered in the natural language processing, but the opinion maker did not actually make use of that context?$
week11_allquestions,11.6,5 - 2 - 4.2 Opinion Mining and Sentiment Analysis- Sentiment Classification (00-11-47).csv,2'40",2'50",160,170, Why does the order of the polarity categories matter?
week11_allquestions,1.2,MISSING, 1'25",3'17",85,197, What's the meaning of parameter lambda?
week11_allquestions,11.7,5 - 3 - 4.3 Opinion Mining and Sentiment Analysis- Ordinal Logistic Regression (00-13-43).csv, 08'35",11'20",515,680, What is meant by "share training data"? Does this refer to the fact that beta_ji is the same for all values of j?
week11_allquestions,5.4,MISSING, 1'27",3'58",87,238, What is the difference between macro and mirco avergeing of precision and the recall?
week11_allquestions,11.4,4 - 13 - 3.13 Text Categorization- Evaluation Part 2 (00-10-51).csv, 3'30" , 4'30",210,270, Does human effort needed for all items in micro-averaging?
week11_allquestions,11.2,4 - 11 - 3.11 Text Categorization- Discriminative Classifier Part 2 (00-31-46).csv, 28'49'',28'57'',1729,1737,What else semi-supervised learning technique we can use here?
week11_allquestions,11.6,5 - 2 - 4.2 Opinion Mining and Sentiment Analysis- Sentiment Classification (00-11-47).csv, 1'52",3'34",112,214, How do we deal with the ambiguity when conducting sentiment classfication?
week11_allquestions,11.2,4 - 11 - 3.11 Text Categorization- Discriminative Classifier Part 2 (00-31-46).csv, 28'49'',28'57'',1729,1737,Will different type of supervised learning techniques change the final result?
week11_allquestions,5.2,MISSING, 14'30",14'45",870,885, how is large margin connected to (W^t)W?
week11_allquestions,5.2,MISSING, 7'00”,7’14”,420,434, Can sentiment classifications be treated as a categorization problem?
week11_allquestions,10.9,MISSING, 1'23",2'33",83,153, What is the functionality for all of text categorization in real life?
